game_id,player_id,player_name_ko,team_name_ko,main_position,shots,shots_on_target,goals,passes_total,passes_successful,passes_failed,carries,tackles_total,tackles_successful,interceptions,blocks,clearances,recoveries,duels_total,duels_won,carries_progressive,assists,key_passes,fantasy_score
126286,356597.0,제르소,인천 유나이티드,LW,1,0,0,27,25,2,16,2,2,2,0,0,5,1,1,6,0,2,18.5
126286,356599.0,최우진,인천 유나이티드,LWB,1,0,0,27,22,5,16,0,0,0,0,1,6,1,1,1,0,0,7.35
126286,356603.0,음포쿠,인천 유나이티드,CM,0,0,0,92,78,14,36,3,0,3,1,0,12,3,3,5,0,1,23.6
126286,356605.0,권한진,인천 유나이티드,CB,0,0,0,60,57,3,23,1,1,17,1,14,9,3,3,2,0,0,48.0
126286,356607.0,박승호,인천 유나이티드,RW,1,0,0,27,19,8,13,1,1,3,4,2,6,1,1,2,0,0,17.55
126286,356608.0,천성훈,인천 유나이티드,,0,0,0,7,6,1,2,0,0,0,0,0,2,0,0,0,0,0,1.25
126286,500460.0,이범수,인천 유나이티드,GK,0,0,0,9,7,2,4,0,0,1,0,1,2,0,0,3,0,0,4.3
126286,500525.0,몬레알,수원FC,,0,0,0,16,11,5,9,1,0,1,1,1,1,9,9,1,0,0,13.6
126286,500527.0,권경원,수원FC,CB,0,0,0,66,64,2,28,0,0,5,4,5,9,6,6,0,0,0,30.400000000000002
126286,500530.0,지동원,수원FC,CF,0,0,0,17,15,2,7,0,0,3,0,1,3,1,1,0,0,0,8.65
126286,500534.0,정승원,수원FC,RW,1,0,0,24,16,8,16,6,1,3,2,1,12,3,3,0,0,0,16.6
126286,500535.0,이준석,수원FC,,0,0,0,11,9,2,6,2,0,1,1,0,5,0,0,0,0,0,4.5
126286,500547.0,김태한,수원FC,CB,0,0,0,40,33,7,10,0,0,6,2,7,4,2,2,0,0,0,21.15
126286,500549.0,안데르손,수원FC,LW,1,0,0,21,19,2,15,0,0,3,1,0,4,0,0,1,0,0,10.549999999999999
126286,500550.0,정재민,수원FC,CF,0,0,0,1,1,0,3,1,0,2,0,3,1,2,2,0,0,1,8.75
126286,500552.0,안준수,수원FC,GK,0,0,0,18,12,6,7,0,0,1,0,1,4,0,0,0,0,0,4.45
126286,500554.0,강상윤,수원FC,CM,0,0,0,39,33,6,15,1,0,4,0,0,9,3,3,0,0,0,15.149999999999999
126287,61968.0,진성욱,제주SK FC,CF,1,0,0,24,18,6,13,4,1,3,3,1,6,1,1,1,0,0,14.849999999999998
126287,62054.0,강지훈,강원FC,RWB,2,0,0,14,11,3,5,1,1,1,2,0,4,1,1,0,0,0,10.399999999999999
126287,73228.0,서진수,제주SK FC,CF,2,0,0,23,15,8,12,2,0,2,0,1,9,2,2,0,0,0,11.299999999999999
126287,83615.0,윤석영,강원FC,CB,0,0,0,61,50,11,30,0,0,8,2,11,7,5,5,4,0,0,33.75
126287,85175.0,이광연,강원FC,GK,0,0,0,9,6,3,5,0,0,1,0,2,2,0,0,1,0,0,4.1
126287,187259.0,황문기,강원FC,CM,1,0,0,24,18,6,13,2,1,1,2,0,7,2,2,2,0,0,12.549999999999999
126287,187313.0,송주훈,제주SK FC,CB,0,0,0,54,45,9,29,1,0,8,4,10,1,8,8,0,0,1,36.5
126287,250957.0,김동준,제주SK FC,GK,0,0,0,37,36,1,16,0,0,0,0,1,10,0,0,0,1,1,14.85
126287,250959.0,최영준,제주SK FC,CM,1,0,0,23,20,3,8,2,1,3,0,3,7,2,2,0,0,0,14.549999999999999
126287,288640.0,갈레고,강원FC,RW,1,0,0,20,16,4,16,2,0,2,2,1,11,1,1,5,0,0,13.900000000000002
126287,346036.0,유리 조나탄,제주SK FC,CF,2,0,0,19,14,5,11,3,0,2,1,2,4,10,10,0,0,1,21.0
126287,346037.0,헤이스,제주SK FC,LW,0,0,0,24,19,5,18,2,0,1,0,3,6,1,1,1,0,1,10.05
126287,346038.0,김승섭,제주SK FC,LW,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1.05
126287,355790.0,임채민,제주SK FC,CB,0,0,0,60,53,7,25,3,2,12,4,11,8,2,2,0,0,1,42.8
126287,360162.0,이주용,제주SK FC,LWB,0,0,0,36,34,2,14,2,0,4,2,3,8,1,1,0,0,0,16.3
126287,408792.0,강투지,강원FC,CB,0,0,0,40,36,4,25,3,1,8,4,8,4,3,3,6,0,0,31.55
126287,412017.0,가브리엘,강원FC,CF,3,0,0,16,8,8,11,1,1,4,0,3,3,6,6,4,0,1,23.049999999999997
126287,413678.0,김건웅,제주SK FC,CM,0,0,0,17,15,2,9,1,0,2,1,1,10,0,0,0,0,0,9.05
126287,500113.0,김이석,강원FC,CM,3,0,0,52,45,7,18,0,0,3,0,3,9,1,1,1,0,1,20.05
126287,500114.0,카미야,강원FC,CM,1,0,0,13,12,1,7,0,0,0,1,0,1,1,1,0,0,1,6.8
126287,500115.0,이기혁,강원FC,CB,0,0,0,54,48,6,32,1,0,10,0,10,4,7,7,2,0,0,34.6
126287,500117.0,이상헌,강원FC,CF,4,0,1,28,22,6,17,3,2,3,0,2,9,1,1,4,0,0,29.849999999999998
126287,500118.0,김강국,강원FC,CM,1,0,0,51,43,8,13,4,2,5,1,3,15,3,3,0,0,1,27.450000000000003
126287,500121.0,양민혁,강원FC,RM,0,0,0,18,18,0,14,4,2,3,2,1,5,3,3,2,1,2,26.0
126287,500502.0,이유현,강원FC,CM,1,0,0,6,4,2,6,1,0,0,1,0,3,0,0,1,0,1,5.5
126287,500586.0,김태환,제주SK FC,RWB,2,0,0,45,39,6,23,4,2,6,0,3,16,3,3,0,0,0,27.45
126287,500588.0,탈레스,제주SK FC,RW,1,0,0,11,10,1,6,0,0,1,0,0,3,1,1,0,0,0,5.65
126287,500593.0,박주승,제주SK FC,RM,0,0,0,8,3,5,4,2,1,1,0,0,4,1,1,0,0,0,5.15
126287,500602.0,이탈로,제주SK FC,CM,2,0,1,44,33,11,16,2,1,4,4,2,11,3,3,0,0,1,36.05
126288,62082.0,최영은,대구FC,GK,0,0,0,11,7,4,6,0,0,1,0,0,4,0,0,2,0,0,4.1
126288,62086.0,김진혁,대구FC,CB,1,0,0,29,27,2,17,2,1,6,2,6,8,6,6,3,0,1,30.95
126288,62098.0,고재현,대구FC,RW,1,0,0,13,10,3,7,2,1,1,2,0,5,4,4,1,0,0,12.7
126288,62112.0,세징야,대구FC,CF,4,0,0,30,24,6,29,0,0,1,1,0,5,1,1,6,0,0,14.350000000000001
126288,62114.0,에드가,대구FC,CF,3,0,0,28,19,9,12,0,0,0,0,0,3,11,11,3,0,5,27.85
126288,250055.0,황재원,대구FC,RWB,3,0,0,35,27,8,19,9,2,8,2,2,9,2,2,4,0,0,28.05
126288,250076.0,홍철,대구FC,LWB,0,0,0,38,33,5,29,1,0,4,2,2,7,2,2,4,0,0,18.5
126288,259766.0,박용희,대구FC,RW,0,0,0,3,2,1,1,0,0,0,0,0,2,1,1,0,0,1,3.8000000000000003
126288,325355.0,박세진,대구FC,CM,1,0,0,3,2,1,2,0,0,0,0,0,1,1,1,0,0,0,2.55
126288,342719.0,김강산,대구FC,CB,0,0,0,31,28,3,17,1,0,5,5,5,10,6,6,1,0,1,29.5
126288,342722.0,바셀루스,대구FC,LW,3,0,0,13,8,5,15,3,1,2,1,0,5,4,4,3,0,0,15.6
126288,356609.0,박민규,김천 상무 프로축구단,LB,0,0,0,36,28,8,11,1,0,4,1,3,8,2,2,0,1,2,24.549999999999997
126288,356610.0,윤종규,김천 상무 프로축구단,RB,0,0,0,2,2,0,0,0,0,1,2,0,0,0,0,0,0,0,3.7
126288,356611.0,김현욱,김천 상무 프로축구단,RW,1,0,0,20,16,4,7,6,2,3,1,1,5,0,0,0,0,0,12.05
126288,356612.0,원두재,김천 상무 프로축구단,CM,1,0,1,74,60,14,40,1,0,5,3,5,14,7,7,0,0,0,42.2
126288,356614.0,김태현,김천 상무 프로축구단,RB,0,0,0,29,23,6,9,5,2,8,3,6,3,3,3,0,0,0,26.45
126288,356615.0,정치인,김천 상무 프로축구단,LW,1,0,0,22,18,4,18,1,0,1,1,2,3,3,3,0,0,0,10.6
126288,356616.0,김동현,김천 상무 프로축구단,CM,0,0,0,3,1,2,1,0,0,2,0,0,0,0,0,0,0,0,3.05
126288,356617.0,강현무,김천 상무 프로축구단,GK,0,0,0,21,19,2,17,0,0,4,0,2,5,0,0,0,0,0,11.15
126288,356618.0,김진규,김천 상무 프로축구단,CM,0,0,0,81,70,11,46,4,1,6,3,4,13,2,2,0,0,1,31.25
126288,356619.0,김재우,김천 상무 프로축구단,CB,0,0,0,35,29,6,13,2,1,7,1,6,2,5,5,0,0,0,24.55
126288,356622.0,이중민,김천 상무 프로축구단,CF,0,0,0,2,1,1,4,2,0,0,1,0,0,4,4,0,0,0,4.65
126288,356623.0,김민준,김천 상무 프로축구단,RW,0,0,0,8,7,1,5,3,2,3,2,0,3,0,0,0,0,1,13.000000000000002
126288,356624.0,강현묵,김천 상무 프로축구단,CM,2,0,0,32,26,6,14,7,0,4,2,1,8,3,3,0,0,1,18.8
126288,356625.0,이영준,김천 상무 프로축구단,CF,2,0,0,11,10,1,7,1,0,2,0,1,1,1,1,0,0,1,9.8
126288,412005.0,벨톨라,대구FC,CM,0,0,0,57,43,14,26,3,1,2,4,1,12,5,5,2,0,1,24.5
126288,500505.0,요시노,대구FC,CM,0,0,0,40,31,9,15,3,1,1,2,1,18,1,1,1,0,2,19.0
126288,500520.0,고명석,대구FC,CB,0,0,0,25,19,6,11,1,0,4,1,2,13,4,4,0,0,0,17.75
126288,500563.0,최기윤,김천 상무 프로축구단,RW,0,0,0,5,1,4,6,0,0,0,1,0,4,1,1,0,0,0,3.4
126288,500569.0,김봉수,김천 상무 프로축구단,CB,0,0,0,57,51,6,33,3,2,6,5,4,5,2,2,0,0,0,28.65
126289,61921.0,최철순,전북 현대 모터스,RB,0,0,0,14,14,0,7,3,0,3,2,3,4,1,1,1,1,1,18.349999999999998
126289,61932.0,한교원,전북 현대 모터스,RW,0,0,0,16,11,5,12,5,1,3,3,2,5,4,4,0,0,2,19.75
126289,143588.0,최규백,수원FC,CB,0,0,0,5,5,0,3,0,0,0,0,0,1,0,0,0,0,0,0.95
126289,246403.0,맹성웅,전북 현대 모터스,CM,0,0,0,2,1,1,1,1,0,3,0,2,1,0,0,0,0,0,5.6
126289,252489.0,이승우,수원FC,LW,3,0,1,27,22,5,14,1,1,0,0,0,6,0,0,0,0,1,20.95
126289,287282.0,이용,수원FC,RB,0,0,0,77,75,2,30,3,1,3,2,2,12,3,3,6,0,0,25.700000000000003
126289,354791.0,정태욱,전북 현대 모터스,CB,0,0,0,0,0,0,0,0,0,2,0,2,0,1,1,0,0,0,5.0
126289,354794.0,정민기,전북 현대 모터스,GK,0,0,0,16,12,4,8,0,0,0,0,1,6,0,0,0,0,0,3.7
126289,354804.0,이규동,전북 현대 모터스,CF,0,0,0,9,5,4,7,5,2,2,1,3,6,1,1,0,0,0,11.05
126289,354809.0,박철우,수원FC,LB,1,0,0,53,53,0,29,2,1,1,3,2,8,5,5,3,0,2,26.75
126289,354812.0,윤빛가람,수원FC,CM,5,0,0,106,96,10,51,4,0,4,1,1,14,4,4,7,0,3,39.25000000000001
126289,360011.0,정우재,전북 현대 모터스,LB,0,0,0,21,15,6,8,4,3,7,5,7,5,1,1,1,0,0,27.6
126289,408811.0,페트라섹,전북 현대 모터스,CB,0,0,0,16,13,3,7,1,0,8,7,12,4,6,6,0,0,0,33.4
126289,411440.0,보아텡,전북 현대 모터스,CM,0,0,0,17,10,7,5,2,1,1,0,1,7,3,3,0,0,0,9.2
126289,413673.0,박재용,전북 현대 모터스,CF,2,0,0,6,6,0,3,1,0,1,0,1,0,3,3,0,0,0,7.45
126289,491833.0,티아고,전북 현대 모터스,CF,2,0,1,6,5,1,6,0,0,3,0,2,0,2,2,0,0,1,22.25
126289,491834.0,이재익,전북 현대 모터스,CB,1,0,0,22,16,6,11,3,0,7,4,10,2,1,1,0,0,0,23.05
126289,491835.0,전병관,전북 현대 모터스,LW,1,0,0,22,17,5,21,3,1,2,1,2,13,3,3,0,0,0,16.3
126289,500425.0,비니시우스,전북 현대 모터스,CF,3,0,0,15,11,4,8,0,0,1,1,2,8,1,1,0,0,0,11.2
126289,500430.0,이영재,전북 현대 모터스,CM,0,0,0,36,33,3,14,2,1,3,2,2,14,3,3,0,0,2,23.75
126289,500525.0,몬레알,수원FC,,3,0,0,12,10,2,13,1,0,1,1,1,2,6,6,2,0,0,14.45
126289,500527.0,권경원,수원FC,CB,1,0,0,81,80,1,46,2,2,5,2,4,8,6,6,12,0,1,39.75
126289,500530.0,지동원,수원FC,CF,2,0,0,19,17,2,8,1,0,3,0,3,5,1,1,1,0,1,14.5
126289,500534.0,정승원,수원FC,RW,3,0,0,34,31,3,21,1,1,2,2,2,9,2,2,4,0,1,22.4
126289,500535.0,이준석,수원FC,,1,0,0,6,6,0,11,0,0,1,0,0,1,0,0,1,0,0,4.25
126289,500547.0,김태한,수원FC,CB,0,0,0,69,66,3,21,1,0,8,0,6,14,5,5,1,0,1,33.7
126289,500549.0,안데르손,수원FC,LW,3,0,0,68,59,9,53,3,3,4,1,1,12,1,1,7,1,4,42.800000000000004
126289,500550.0,정재민,수원FC,CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
126289,500552.0,안준수,수원FC,GK,0,0,0,12,10,2,6,0,0,1,0,2,2,0,0,0,0,0,4.3
